,Household_ID,Vehicle,Calendar_Year,Model_Year,Blind_Make,Blind_Model,Blind_Submodel,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9,Cat10,Cat11,Cat12,OrdCat,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,NVCat,NVVar1,NVVar2,NVVar3,NVVar4,Claim_Amount
15,6,1,2005,1998,BH,BH.29,BH.29.4,I,?,A,?,?,B,?,A,B,B,A,D,4,-0.3766379,-0.2455442,-1.2399328,-0.3094353,-0.7633367,-0.10157039999999999,0.35485079999999997,0.5969612,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
16,6,1,2006,1998,BH,BH.29,BH.29.4,I,?,A,?,?,B,?,A,B,A,F,D,4,-0.3766379,-0.2455442,-1.2399328,-0.3094353,-0.7633367,-0.10157039999999999,0.35485079999999997,0.5969612,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
17,6,2,2005,2003,BW,BW.167,BW.167.0,I,C,F,?,?,D,?,B,A,A,C,B,5,0.3224052,1.6910638,1.5831879,1.5848991000000001,0.342832,1.4518048000000001,1.6942006,1.2424935,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
18,6,2,2006,2003,BW,BW.167,BW.167.0,I,C,F,?,?,D,?,B,A,A,E,C,5,0.3224052,1.6910638,1.5831879,1.5848991000000001,0.342832,1.4518048000000001,1.6942006,1.2424935,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
19,9,1,2005,2001,BW,BW.167,BW.167.0,I,C,B,?,?,D,?,B,B,B,A,D,5,0.3224052,1.6910638,1.5831879,1.5848991000000001,0.4617749,1.4518048000000001,1.4115856000000002,0.9771044,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
20,9,3,2005,1999,BW,BW.49,BW.49.0,H,?,A,?,?,D,?,B,B,A,A,B,5,1.8490508999999997,1.1723295,1.652609,1.0774881,1.6393093,1.4529743999999998,2.4314575,-0.1037055,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
21,9,4,2005,2005,BP,BP.23,BP.23.0,I,A,B,?,?,C,?,A,A,A,B,B,4,-0.681967,-0.2455442,-0.2680387,-0.3094353,-1.1796368,-0.4232407999999999,0.49001459999999997,-0.46196990000000004,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
22,9,5,2005,2005,K,K.3,K.3.5,I,C,F,?,?,B,?,C,A,A,A,C,5,-0.17576340000000001,0.8265066999999999,0.403031,0.7392141,-0.1269924,0.8341978000000001,0.7111916,0.810279,N,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
23,10,1,2005,1998,K,K.2,K.2.2,I,A,A,?,?,B,?,A,B,A,A,C,4,-0.5373374,-0.0726328,-1.2862133999999998,-0.0219024,-0.7395480999999999,-0.1752622,0.7111916,0.0601663,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
24,10,1,2006,1998,K,K.2,K.2.2,I,A,A,?,?,B,?,A,B,B,E,C,4,-0.5373374,-0.0726328,-1.2862133999999998,-0.0219024,-0.7395480999999999,-0.1752622,0.7111916,0.0601663,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
25,10,2,2005,1993,K,K.68,K.68.0,C,?,A,B,A,B,?,A,B,A,A,D,4,-0.9310513000000001,0.5671395,-0.17547739999999998,2.1768785,-0.7990195999999999,-0.43844700000000003,-1.5374416000000002,1.3370097,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
26,10,3,2006,2003,N,N.8,N.8.0,A,C,B,C,A,B,?,A,A,B,A,D,4,0.017075999999999997,1.2587852,-0.1291967,1.5003306,-0.5313981,-0.1998261,-0.9722114,0.7375321,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
27,10,4,2005,2003,N,N.8,N.8.0,A,C,B,C,A,B,?,A,A,C,A,C,4,0.017075999999999997,1.2587852,-0.1291967,1.5003306,-0.5313981,-0.1998261,-0.9722114,0.7375321,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
28,10,4,2006,2005,P,P.35,P.35.0,J,C,B,?,?,B,?,B,A,A,C,B,4,-0.40877779999999997,0.6535951999999999,0.1253469,0.6546456,-0.2935124,0.3195252,0.4162889,1.4792215,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
29,10,5,2005,2005,P,P.35,P.35.0,J,C,B,?,?,B,?,B,A,A,B,B,4,-0.40877779999999997,0.6535951999999999,0.1253469,0.6546456,-0.2935124,0.3195252,0.4162889,1.4792215,J,1.4831301000000001,-0.2661168,-0.27233720000000006,1.4086365,0.0
30,11,1,2005,1995,W,W.16,W.16.3,I,?,E,?,?,C,?,A,B,A,?,,4,-0.48912749999999994,-0.12450619999999998,-0.2680387,-0.0219024,-0.7217066999999999,0.0762255,0.24426230000000002,0.29229970000000005,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
31,11,1,2006,1995,W,W.16,W.16.3,I,?,E,?,?,C,?,A,B,C,D,C,4,-0.48912749999999994,-0.12450619999999998,-0.2680387,-0.0219024,-0.7217066999999999,0.0762255,0.24426230000000002,0.29229970000000005,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
32,11,2,2005,2004,AQ,AQ.17,AQ.17.2,B,C,B,A,A,D,C,B,A,B,A,C,4,0.017075999999999997,0.2213167,0.3336099,0.23180309999999998,0.5271934,-0.023199900000000002,-0.7018839,0.3902071,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
33,11,2,2006,2004,AQ,AQ.17,AQ.17.2,B,C,B,A,A,D,C,B,A,A,B,D,4,0.017075999999999997,0.2213167,0.3336099,0.23180309999999998,0.5271934,-0.023199900000000002,-0.7018839,0.3902071,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
34,12,1,2006,2003,AI,AI.23,AI.23.0,I,C,B,?,?,E,?,B,A,A,A,C,5,1.447302,2.7285322999999995,1.72203,2.5997209999999997,1.7998822,2.7092433,1.5836121,3.0971544,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
35,12,2,2005,2001,AJ,AJ.32,AJ.32.2,I,C,A,?,?,E,?,A,B,A,A,B,6,2.0177853,2.0368866999999997,1.8145913,2.0077415000000003,2.1150808,3.5830165999999997,2.1488423,1.6854286,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
36,12,2,2006,1997,BO,BO.44,BO.44.1,D,?,E,?,?,D,?,A,B,A,C,C,5,2.1463451,0.8265066999999999,1.6988896,0.7392141,1.9545078000000002,1.0435759,1.0921077,-0.476191,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
37,12,4,2005,2003,AI,AI.23,AI.23.0,I,C,B,?,?,E,?,B,A,A,A,B,5,1.447302,2.7285322999999995,1.72203,2.5997209999999997,1.7998822,2.7092433,1.5836121,3.0971544,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
38,12,5,2005,1997,BO,BO.44,BO.44.1,D,?,E,?,?,D,?,A,B,B,B,D,5,2.1463451,0.8265066999999999,1.6988896,0.7392141,1.9545078000000002,1.0435759,1.0921077,-0.476191,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
39,12,8,2005,1997,BO,BO.44,BO.44.1,D,?,E,?,?,D,?,A,B,A,A,C,5,2.1463451,0.8265066999999999,1.6988896,0.7392141,1.9545078000000002,1.0435759,1.0921077,-0.476191,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
40,13,1,2005,1996,AF,AF.8,AF.8.0,A,?,A,A,A,D,C,A,B,A,B,C,4,0.0813558,0.9994181000000001,-0.29117909999999997,0.9083511000000001,0.3963563,0.5768615,-1.1811008,3.6556091,J,-0.2315299,-0.2661168,4.2094035000000005,-0.2514189,0.0
41,13,1,2006,2001,AL,AL.31,AL.31.0,A,C,B,C,A,B,?,A,A,A,A,D,4,-0.3766379,0.6535951999999999,-0.6614244,0.5700771,-0.858491,-0.27585729999999997,-1.0827999,1.5240729,J,-0.2315299,-0.2661168,4.2094035000000005,-0.2514189,0.0
42,13,2,2005,2000,AF,AF.21,AF.21.0,C,C,A,C,A,D,B,A,A,B,A,B,5,-0.8105266999999999,1.7775195,-0.0134951,1.6694676,-0.2221467,0.4388357,-1.4391406999999998,5.3484769,J,-0.2315299,-0.2661168,4.2094035000000005,-0.2514189,0.0
43,13,3,2005,2001,AL,AL.31,AL.31.0,A,C,B,C,A,B,?,A,A,A,F,B,4,-0.3766379,0.6535951999999999,-0.6614244,0.5700771,-0.858491,-0.27585729999999997,-1.0827999,1.5240729,J,-0.2315299,-0.2661168,4.2094035000000005,-0.2514189,0.0
44,14,2,2006,2007,K,K.2,K.2.4,I,C,F,?,?,B,?,C,A,A,A,C,4,-0.17576340000000001,0.8437978,0.7269956,0.8068689,-0.1150981,0.5359216,0.8094925000000001,0.583834,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
45,16,1,2005,2002,P,P.33,P.33.0,J,C,B,?,?,B,?,B,A,A,C,B,4,-0.7221419,0.39422809999999997,-0.1291967,0.48550859999999996,-0.6443939000000001,0.1499172,0.3671384,1.2719203000000001,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
46,16,2,2005,2001,K,K.13,K.13.4,F,A,A,B,A,C,?,B,B,A,F,B,2,-0.7703518,-0.8507341999999999,-0.8696874,-0.8675874,-1.2331611,-1.3590089,-1.3899902,-0.44993649999999996,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
47,16,3,2006,2005,X,X.38,X.38.0,C,C,A,C,A,B,?,A,B,A,F,B,4,-0.3927078,0.39422809999999997,0.4261713,0.3163716,-0.21025239999999998,-0.27585729999999997,-1.0213618,-0.1884856,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,24.20559
48,16,6,2005,2005,X,X.38,X.38.0,C,C,A,C,A,B,?,A,B,B,A,D,4,-0.3927078,0.39422809999999997,0.4261713,0.3163716,-0.21025239999999998,-0.27585729999999997,-1.0213618,-0.1884856,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
49,18,1,2005,1998,AU,AU.11,AU.11.3,B,?,A,A,A,B,C,A,B,A,A,B,4,-0.4569876,0.048405199999999995,-0.5457227,-0.0219024,-0.1032038,-0.672389,-0.8616229,-0.153589,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
50,18,1,2006,1998,AU,AU.11,AU.11.3,B,?,A,A,A,B,C,A,B,A,F,C,4,-0.4569876,0.048405199999999995,-0.5457227,-0.0219024,-0.1032038,-0.672389,-0.8616229,-0.153589,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
51,19,3,2005,2004,AU,AU.68,AU.68.0,D,C,F,?,?,D,?,A,A,A,B,B,5,2.2347297999999998,2.0368866999999997,1.5600476,1.9231731,1.9664022,1.4365985000000001,1.5221741000000002,0.3114436,F,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
52,19,3,2006,2004,AU,AU.68,AU.68.0,D,C,F,?,?,D,?,A,A,A,A,C,5,2.2347297999999998,2.0368866999999997,1.5600476,1.9231731,1.9664022,1.4365985000000001,1.5221741000000002,0.3114436,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
53,20,2,2005,1995,K,K.2,K.2.2,I,?,C,?,?,C,?,A,B,B,F,B,4,-0.698037,-0.6432405,-1.2862133999999998,-0.0219024,-0.900121,0.20255420000000002,0.5637403,0.1396955,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
54,22,1,2005,1994,K,K.7,K.7.5,B,?,A,A,A,B,C,A,B,A,A,B,2,-0.7141069,-1.0755191000000002,-0.5457227,0.1472346,-0.1983581,-0.7706447,-0.9353485999999999,-0.3199768,J,-0.2315299,2.0211828,-0.27233720000000006,-0.2514189,0.0
55,22,1,2006,1994,K,K.7,K.7.5,B,?,A,A,A,B,C,A,B,A,A,C,2,-0.7141069,-1.0755191000000002,-0.5457227,0.1472346,-0.1983581,-0.7706447,-0.9353485999999999,-0.3199768,J,-0.2315299,2.0211828,-0.27233720000000006,-0.2514189,0.0
56,22,2,2005,2000,R,R.30,R.30.12,B,C,B,A,A,B,C,B,B,A,E,D,2,-0.4328827,-0.6432405,-0.8234068000000001,-0.6984504,-0.4184024,-0.5437209,-0.6281581999999999,-0.0112678,J,-0.2315299,2.0211828,-0.27233720000000006,-0.2514189,0.0
57,24,1,2005,1993,AJ,AJ.58,AJ.58.3,D,?,C,?,?,D,?,A,B,A,A,E,5,2.1543801,-0.0380505,1.6063284,-0.10647089999999998,1.6630979,0.6751170999999999,1.4238732,-0.6412661999999999,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
58,24,1,2006,1993,AJ,AJ.58,AJ.58.3,D,?,C,?,?,D,?,A,B,A,A,B,5,2.1543801,-0.0380505,1.6063284,-0.10647089999999998,1.6630979,0.6751170999999999,1.4238732,-0.6412661999999999,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
59,24,2,2005,2002,BW,BW.156,BW.156.0,I,C,B,?,?,E,?,B,B,A,F,B,5,1.447302,1.6910638,1.5831879,1.5848991000000001,1.6749921000000003,1.5523997999999999,1.6081873,1.4314163999999998,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
60,24,2,2006,2002,BW,BW.156,BW.156.0,I,C,B,?,?,E,?,B,B,A,A,D,5,1.447302,1.6910638,1.5831879,1.5848991000000001,1.6749921000000003,1.5523997999999999,1.6081873,1.4314163999999998,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
61,25,1,2005,2003,Y,Y.29,Y.29.0,B,C,A,A,A,D,C,B,B,A,A,D,4,-0.11951860000000002,-0.12450619999999998,0.2179083,-0.1910394,0.5271934,-0.2314083,-0.6650210999999999,-0.1316009,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
62,25,1,2006,2003,Y,Y.29,Y.29.0,B,C,A,A,A,D,C,B,B,B,B,C,4,-0.11951860000000002,-0.12450619999999998,0.2179083,-0.1910394,0.5271934,-0.2314083,-0.6650210999999999,-0.1316009,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
63,26,1,2006,2003,BH,BH.11,BH.11.1,C,C,F,C,A,C,B,A,B,C,D,B,2,-0.8989113999999999,-0.8161519,-0.7308454000000001,-0.7491915,-0.8525439,-0.5729637,-1.2179636999999999,0.2728277,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
64,26,2,2005,2003,BH,BH.11,BH.11.1,C,C,F,C,A,C,B,A,B,B,A,B,2,-0.8989113999999999,-0.8161519,-0.7308454000000001,-0.7491915,-0.8525439,-0.5729637,-1.2179636999999999,0.2728277,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
65,26,4,2006,1992,AO,AO.1,AO.1.10,F,?,E,C,A,C,?,A,B,B,A,D,2,-0.3927078,-1.0755191000000002,-1.1473714,-1.1212928,-0.35298379999999996,-0.9928896,-1.0582247,-0.38539429999999997,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
66,26,5,2006,2006,AO,AO.1,AO.1.3,F,C,B,C,A,B,?,B,A,A,A,D,2,-0.5534074000000001,-0.2974176,-0.17547739999999998,-0.3601764,-0.1983581,-0.6209218000000001,-0.8616229,-0.128866,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
67,26,6,2006,1997,AO,AO.1,AO.1.10,F,?,A,C,A,B,?,A,B,A,A,C,2,-0.40877779999999997,-0.9890633,-0.45316140000000005,-1.0367243,-0.3291953,-0.9075008,-0.984499,-0.13214779999999998,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
68,27,1,2005,1997,Q,Q.22,Q.22.3,B,?,A,A,A,E,C,A,B,A,A,E,5,0.1938455,0.048405199999999995,1.3286443000000001,0.3163716,1.2289563000000001,0.2458335,-0.7264590999999999,-0.0446329,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
69,27,1,2006,1997,Q,Q.22,Q.22.3,B,?,A,A,A,E,C,A,B,B,A,C,5,0.1938455,0.048405199999999995,1.3286443000000001,0.3163716,1.2289563000000001,0.2458335,-0.7264590999999999,-0.0446329,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
70,28,1,2005,2002,BW,BW.176,BW.176.0,I,C,B,?,?,B,?,B,B,A,B,C,4,0.0813558,1.4316966999999998,0.5881536,1.3311936000000002,0.0395277,0.8482341999999998,1.1289705,0.3283997,O,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
71,29,1,2005,1997,K,K.2,K.2.1,I,?,A,?,?,B,?,A,B,A,B,C,4,-0.5373374,-0.0726328,-1.2862133999999998,-0.0219024,-0.7395480999999999,-0.1717531,0.5883155,-0.0131275,L,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
72,29,1,2006,1997,K,K.2,K.2.1,I,?,A,?,?,B,?,A,B,A,A,C,4,-0.5373374,-0.0726328,-1.2862133999999998,-0.0219024,-0.7395480999999999,-0.1717531,0.5883155,-0.0131275,L,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
73,30,2,2005,2000,AJ,AJ.40,AJ.40.2,I,C,A,?,?,B,?,A,B,B,A,D,4,-0.031133799999999996,-0.470329,-0.43002109999999993,-0.5293134,-0.025890899999999998,0.3557863,0.6128906999999999,0.2326802,N,-0.2315299,-0.2661168,-0.27233720000000006,1.9619883000000002,0.0
74,30,3,2005,2002,AU,AU.14,AU.14.1,B,C,A,A,A,B,C,A,B,A,A,E,4,-0.1436235,-0.2109619,-0.38374040000000004,-0.2756079,0.0216862,-0.6875952,-0.5912954,-0.48844309999999996,N,-0.2315299,-0.2661168,-0.27233720000000006,1.9619883000000002,0.0
75,30,4,2005,2002,AU,AU.14,AU.14.2,B,C,A,A,A,B,C,A,B,A,A,D,4,-0.1436235,0.9129624,-0.38374040000000004,0.8237825999999999,0.0216862,-0.6875952,-0.5912954,-0.48844309999999996,N,-0.2315299,-0.2661168,-0.27233720000000006,1.9619883000000002,0.0
76,31,1,2005,1999,BW,BW.156,BW.156.0,I,C,A,?,?,E,?,B,B,B,A,B,5,1.5678266,1.1723295,1.0741006000000002,1.0774881,1.6868863999999997,1.4775383,1.0552448,0.45748420000000006,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
77,31,1,2006,1999,BW,BW.156,BW.156.0,I,C,A,?,?,E,?,B,B,A,A,C,5,1.5678266,1.1723295,1.0741006000000002,1.0774881,1.6868863999999997,1.4775383,1.0552448,0.45748420000000006,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
78,33,1,2005,1999,BW,BW.156,BW.156.0,I,C,A,?,?,E,?,B,B,A,A,C,5,1.5678266,1.1723295,1.0741006000000002,1.0774881,1.6868863999999997,1.4775383,1.0552448,0.45748420000000006,N,-0.2315299,2.7836161,-0.27233720000000006,-0.2514189,0.0
79,34,1,2005,2000,X,X.45,X.45.10,B,C,A,A,A,D,C,A,B,A,A,D,4,-0.28021820000000003,0.2213167,0.2179083,0.1472346,0.38446199999999997,-0.2723481,-0.8124724,-0.44391990000000003,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
80,34,2,2005,2002,AI,AI.23,AI.23.0,I,B,B,?,?,E,?,B,A,A,C,B,5,1.447302,2.7285322999999995,1.72203,2.5997209999999997,1.7998822,2.5326169,1.5836121,2.9631472000000003,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
81,35,1,2005,2001,AU,AU.11,AU.11.3,B,C,A,A,A,B,C,A,B,A,A,C,4,-0.2962881,0.6017218000000001,-0.40688070000000004,0.519336,-0.0377852,-0.46885950000000004,-0.7633220000000001,0.061916599999999995,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
82,35,1,2006,2001,AU,AU.11,AU.11.3,B,C,A,A,A,B,C,A,B,B,A,E,4,-0.2962881,0.6017218000000001,-0.40688070000000004,0.519336,-0.0377852,-0.46885950000000004,-0.7633220000000001,0.061916599999999995,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
83,35,2,2005,2002,BW,BW.115,BW.115.0,D,C,A,?,?,D,?,B,B,A,B,D,5,2.5320239,1.6910638,1.4906267,1.5848991000000001,2.1686050999999997,1.5477208999999998,1.3747227,0.4385590999999999,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
84,35,2,2006,1994,Q,Q.3,Q.3.3,F,?,A,C,A,D,C,A,B,B,A,C,4,0.0813558,-0.8161519,0.1484873,-0.5293134,0.5212462999999999,-0.026708999999999997,-1.2548264999999998,-0.7267026,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
85,35,3,2005,1994,Q,Q.3,Q.3.3,F,?,A,C,A,D,C,A,B,A,A,B,4,0.0813558,-0.8161519,0.1484873,-0.5293134,0.5212462999999999,-0.026708999999999997,-1.2548264999999998,-0.7267026,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
86,35,4,2006,1998,AJ,AJ.40,AJ.40.0,I,?,A,?,?,B,?,A,B,A,A,C,4,-0.039168800000000004,-0.470329,-0.43002109999999993,-0.5293134,-0.15672809999999998,0.3791805,0.5883155,0.02702,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
87,36,1,2005,2003,X,X.24,X.24.8,B,C,A,A,A,C,C,A,A,B,A,B,2,-0.7221419,-0.9890633,-1.193652,-1.0367243,-0.9655396,-1.1964192,-0.7878972,-0.7562389,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
88,36,1,2006,2003,X,X.24,X.24.8,B,C,A,A,A,C,C,A,A,A,B,F,2,-0.7221419,-0.9890633,-1.193652,-1.0367243,-0.9655396,-1.1964192,-0.7878972,-0.7562389,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
89,36,2,2005,1997,BO,BO.38,BO.38.1,G,?,A,A,C,D,A,A,B,B,B,B,4,0.5875594,-0.5049113000000001,1.0972409,-0.5631408,0.5034049,0.2002148,0.7111916,-0.2535748,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
90,36,2,2006,1997,BO,BO.38,BO.38.1,G,?,A,A,C,D,A,A,B,A,C,B,4,0.5875594,-0.5049113000000001,1.0972409,-0.5631408,0.5034049,0.2002148,0.7111916,-0.2535748,M,-0.2315299,-0.2661168,-0.27233720000000006,-0.2514189,0.0
